institution,canonical_institution_name,institution_id,detected_language,related_paper_id,title,year,doi,openalex_url,institution_authors,raw_affiliation,evidence_source,evidence_url,suggested_city,suggested_country,matched_institution,suggested_canonical_institution,match_method,similarity_score,confidence,openalex_institution_id,ror_id,wikidata_id,review_status,location_status,coordinate_status,review_note,created_at,updated_at
Universidad Complutense de Madrid,Complutense University of Madrid,institution:6a318a8411b5cf74,es,curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,10.3390/engproc2026123032,https://openalex.org/W7128592463,Staycy Guevara; Ana Lucila Sandoval Orozco; Luis Javier García Villalba,"Group of Analysis, Security and Systems (GASS), Department of Software Engineering and Artificial Intelligence (DISIA), Faculty of Computer Science and Engineering, Office 431,Universidad Complutense de Madrid (UCM), Calle Profesor José García Santesmases, 9, Ciudad Universitaria, 28040 Madrid, Spain",PDF,https://www.mdpi.com/2673-4591/123/1/32,,,Complutense University of Madrid,Complutense University of Madrid,confirmed_alias,1,high,,,,alias_of_confirmed,known,known,ML | Coordinates manually confirmed from the Wikipedia/Wikidata entry for Complutense University of Madrid; used as the institution-level campus coordinate for map visualization.,2026-06-29T19:26:03Z,2026-07-01T14:03:36Z
Complutense University of Madrid,Complutense University of Madrid,institution:6a318a8411b5cf74,,curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,2026,10.3390/engproc2026123032,https://openalex.org/W7128592463,Staycy Guevara; Ana Lucila Sandoval Orozco; Luis Javier García Villalba,"Group of Analysis, Security and Systems (GASS), Department of Software Engineering and Artificial Intelligence (DISIA), Faculty of Computer Science and Engineering, Office 431,Universidad Complutense de Madrid (UCM), Calle Profesor José García Santesmases, 9, Ciudad Universitaria, 28040 Madrid, Spain",PDF,https://www.mdpi.com/2673-4591/123/1/32,,,Complutense University of Madrid,,,,,,,,confirmed,known,known,ML,2026-06-29T19:27:14Z,2026-06-29T19:27:14Z
A*STAR,"Agency for Science, Technology and Research (A*STAR)",institution:e81a0314e783d8a4,,curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",2026,10.1609/aaai.v40i14.38146,https://openalex.org/W7138134961,Muli Yang; Gabriel James Goenawan; Huaiyuan Qin; Fen Fang; Ying Sun; Joo-Hwee Lim; Hongyuan Zhu,,PDF,https://ojs.aaai.org/index.php/AAAI/article/view/38146,,,,,,,,,,,confirmed,known,known,"ML | Coordinates manually checked for A*STAR headquarters at 2 Fusionopolis Way, Innovis #08-01, Singapore 138634, and used as the institution-level coordinate for map visualization.",2026-06-29T19:45:40Z,2026-07-01T14:03:36Z
State University of New York at Buffalo,University at Buffalo,institution:4f85329e76bc9454,,curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,10.1109/iccvw69036.2025.00165,https://openalex.org/W7131078162,Yu Cai; Siwei Lyu,,PDF,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11374598,,,University at Buffalo,,,,,,,,alias_of_confirmed,known,known,"ML | Coordinates manually checked for University at Buffalo North Campus at Flint Entrance, Amherst, NY 14260, United States, and used as the institution-level coordinate for map visualization.",2026-06-29T19:55:56Z,2026-07-01T05:47:39Z
Fudan University,Fudan University,institution:baa1df7c4adddbda,,curated:66ea5be66b23f7db046a,人工智能生成图像检测技术综述,2026,10.11834/jig.250053,https://openalex.org/W7124700339,Meiling Li; Zhenxing Qian; Xinpeng Zhang,"College of Computer Science and Artificial Intelligence, Fudan University Shanghai",PDF,https://ai.fudan.edu.cn/,,,,,,,,,,,confirmed,known,known,"ML | Coordinates manually checked for Fudan University at 220 Handan Road, Yangpu District, Shanghai 200433, China, and used as the institution-level coordinate for map visualization.",2026-06-29T19:58:35Z,2026-07-01T14:03:36Z
"City, University of London",City University of London,institution:24e78a56f93457a5,,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,Christos Tzelepis,"City, University of London",PDF,https://link.springer.com/chapter/10.1007/978-3-031-92648-8_22,,,City University of London,,,,,,,,alias_of_confirmed,known,known,"Manually confirmed from the paper PDF affiliation section. Kept the institution name as shown in the publication-time affiliation; the institution later merged into City St George’s, University of London. | Coordinates manually checked for City, University of London / City St George's at Northampton Square, London EC1V 0HB, United Kingdom, and used as the institution-level coordinate for map visualization.",2026-06-29T20:03:21Z,2026-07-01T14:03:36Z
Queen Mary University of London,Queen Mary University of London,institution:c5eade35ea50a856,,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,Dario Cioni; Ioannis Patras,"Queen Mary, University of London",PDF,https://link.springer.com/chapter/10.1007/978-3-031-92648-8_22,,,Queen Mary University of London,,,,,,,,alias_of_confirmed,known,known,"ML | Coordinates manually checked for Queen Mary University of London at 327 Mile End Road, London E1 4NS, United Kingdom, and used as the institution-level coordinate for map visualization.",2026-06-29T20:04:10Z,2026-07-01T14:03:36Z
"Queen Mary, University of London",,institution:c5eade35ea50a856,,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,Dario Cioni; Ioannis Patras,"Queen Mary, University of London",PDF,https://link.springer.com/chapter/10.1007/978-3-031-92648-8_22,,,,,,,,,,,needs_coordinates,missing,missing,ML,2026-06-29T20:04:39Z,2026-06-29T20:05:14Z
City University of London,,institution:24e78a56f93457a5,,curated:8bc69db49ef4b9db3cd6,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,2025,10.1007/978-3-031-92648-8_22,https://openalex.org/W4410889859,Christos Tzelepis,"City, University of London",PDF,https://link.springer.com/chapter/10.1007/978-3-031-92648-8_22,,,,,,,,,,,needs_coordinates,missing,missing,"Manually confirmed from the paper PDF affiliation section. Kept the institution name as shown in the publication-time affiliation; the institution later merged into City St George’s, University of London.",2026-06-29T20:05:00Z,2026-06-29T20:05:00Z
Yonsei University,Yonsei University,institution:52cbdd91a8dbd658,,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,Seunghyeon Park; Gunhui Han,"Department of Mechanical Engineering, Yonsei University, Seoul, Republic of Korea",PDF,https://ieeexplore.ieee.org/document/10929816,,,Yonsei University,,,,,,,,ignore,missing,missing,"ML | Coordinates manually checked for Yonsei University Sinchon Campus at 50 Yonsei-ro, Seodaemun-gu, Seoul 03722, Republic of Korea, and used as the institution-level coordinate for map visualization.",2026-06-29T20:07:46Z,2026-07-01T04:27:27Z
